Timestamp,Symbol,LTP,Volume
1766754292.4944804,NSE_FO|NIFTY23OCT19500CE,19499.81,6
1766754293.0034583,NSE_FO|NIFTY23OCT19500CE,19497.84,1
1766754293.5055158,NSE_FO|NIFTY23OCT19500CE,19495.9,9
1766754294.0072207,NSE_FO|NIFTY23OCT19500CE,19496.9,7
1766754294.5242836,NSE_FO|NIFTY23OCT19500CE,19499.77,6
1766754295.0410938,NSE_FO|NIFTY23OCT19500CE,19502.22,9
1766754295.5417778,NSE_FO|NIFTY23OCT19500CE,19500.44,8
1766754296.0577173,NSE_FO|NIFTY23OCT19500CE,19499.3,6
1766754296.5594797,NSE_FO|NIFTY23OCT19500CE,19501.33,7
1766754297.075176,NSE_FO|NIFTY23OCT19500CE,19501.34,10
1766754297.5912333,NSE_FO|NIFTY23OCT19500CE,19502.09,2
1766754298.092406,NSE_FO|NIFTY23OCT19500CE,19500.84,5
1766754298.5940754,NSE_FO|NIFTY23OCT19500CE,19501.35,6
1766754299.095876,NSE_FO|NIFTY23OCT19500CE,19502.57,1
1766754299.610166,NSE_FO|NIFTY23OCT19500CE,19505.39,5
1766754300.125086,NSE_FO|NIFTY23OCT19500CE,19506.27,1
1766754300.6271243,NSE_FO|NIFTY23OCT19500CE,19507.76,5
1766754301.14045,NSE_FO|NIFTY23OCT19500CE,19508.83,5
1766754301.643532,NSE_FO|NIFTY23OCT19500CE,19511.38,2
1766754302.148155,NSE_FO|NIFTY23OCT19500CE,19512.1,1
1766754673.7742367,NSE_FO|NIFTY23OCT19500CE,19502.44,10
1766754674.2861388,NSE_FO|NIFTY23OCT19500CE,19500.63,7
1766754674.7870808,NSE_FO|NIFTY23OCT19500CE,19503.26,5
1766754675.2890375,NSE_FO|NIFTY23OCT19500CE,19501.4,4
1766754675.8045425,NSE_FO|NIFTY23OCT19500CE,19503.18,3
1766754676.3204927,NSE_FO|NIFTY23OCT19500CE,19502.08,5
1766754676.8350174,NSE_FO|NIFTY23OCT19500CE,19501.17,8
1766754677.3397985,NSE_FO|NIFTY23OCT19500CE,19502.31,10
1766754677.855374,NSE_FO|NIFTY23OCT19500CE,19501.52,3
1766754678.3674936,NSE_FO|NIFTY23OCT19500CE,19502.48,3
1766754678.871322,NSE_FO|NIFTY23OCT19500CE,19503.62,8
1766754679.378507,NSE_FO|NIFTY23OCT19500CE,19504.86,10
1766754679.8861961,NSE_FO|NIFTY23OCT19500CE,19507.06,8
1766754680.3916538,NSE_FO|NIFTY23OCT19500CE,19507.14,2
1766754680.9079192,NSE_FO|NIFTY23OCT19500CE,19508.84,8
1766754681.4099364,NSE_FO|NIFTY23OCT19500CE,19509.11,10
1766754681.926757,NSE_FO|NIFTY23OCT19500CE,19508.78,7
1766754682.4276862,NSE_FO|NIFTY23OCT19500CE,19508.96,8
1766754682.935445,NSE_FO|NIFTY23OCT19500CE,19507.58,5
1766754683.448886,NSE_FO|NIFTY23OCT19500CE,19508.6,6
1766756268.9103088,NSE_FO|NIFTY23OCT19500CE,19501.87,5
1766756269.41912,NSE_FO|NIFTY23OCT19500CE,19502.41,7
1766756269.9216306,NSE_FO|NIFTY23OCT19500CE,19503.96,4
1766756270.4376023,NSE_FO|NIFTY23OCT19500CE,19506.06,2
1766756270.938756,NSE_FO|NIFTY23OCT19500CE,19508.88,10
1766756271.454386,NSE_FO|NIFTY23OCT19500CE,19511.6,4
1766756271.9550424,NSE_FO|NIFTY23OCT19500CE,19513.65,6
1766756272.4612558,NSE_FO|NIFTY23OCT19500CE,19513.26,1
1766756272.9714825,NSE_FO|NIFTY23OCT19500CE,19512.15,7
1766756273.4723084,NSE_FO|NIFTY23OCT19500CE,19514.38,4
1766756273.9877777,NSE_FO|NIFTY23OCT19500CE,19514.23,4
1766756274.491105,NSE_FO|NIFTY23OCT19500CE,19516.32,10
1766756274.999678,NSE_FO|NIFTY23OCT19500CE,19517.64,2
1766756275.5153294,NSE_FO|NIFTY23OCT19500CE,19516.97,1
1766756276.0301983,NSE_FO|NIFTY23OCT19500CE,19518.37,7
1766756276.532113,NSE_FO|NIFTY23OCT19500CE,19517.11,2
1766756277.0454776,NSE_FO|NIFTY23OCT19500CE,19520.03,4
1766756277.5603795,NSE_FO|NIFTY23OCT19500CE,19519.74,10
1766756278.0638402,NSE_FO|NIFTY23OCT19500CE,19518.2,8
1766756278.577078,NSE_FO|NIFTY23OCT19500CE,19517.42,1
1766756988.0396583,NSE_FO|NIFTY23OCT19500CE,19501.86,5
1766756988.5477214,NSE_FO|NIFTY23OCT19500CE,19503.98,5
1766756989.0631754,NSE_FO|NIFTY23OCT19500CE,19502.14,1
1766756989.5802855,NSE_FO|NIFTY23OCT19500CE,19504.5,1
1766756990.0820158,NSE_FO|NIFTY23OCT19500CE,19505.4,2
1766756990.5973554,NSE_FO|NIFTY23OCT19500CE,19504.73,9
1766756991.0991945,NSE_FO|NIFTY23OCT19500CE,19507.67,2
1766756991.6143556,NSE_FO|NIFTY23OCT19500CE,19507.48,7
1766756992.1156564,NSE_FO|NIFTY23OCT19500CE,19508.01,3
1766756992.6187072,NSE_FO|NIFTY23OCT19500CE,19508.0,2
1766756993.134029,NSE_FO|NIFTY23OCT19500CE,19508.45,5
1766756993.6501443,NSE_FO|NIFTY23OCT19500CE,19508.23,3
1766756994.1514766,NSE_FO|NIFTY23OCT19500CE,19509.78,9
1766756994.6541631,NSE_FO|NIFTY23OCT19500CE,19510.58,6
1766756995.1705396,NSE_FO|NIFTY23OCT19500CE,19510.21,10
1766756995.686054,NSE_FO|NIFTY23OCT19500CE,19513.01,8
1766756996.2001002,NSE_FO|NIFTY23OCT19500CE,19513.22,4
1766756996.7027583,NSE_FO|NIFTY23OCT19500CE,19514.16,3
1766756997.2050426,NSE_FO|NIFTY23OCT19500CE,19514.95,2
1766756997.7210858,NSE_FO|NIFTY23OCT19500CE,19517.56,2
1766757015.0921342,NSE_FO|NIFTY23OCT19500CE,19500.91,10
1766757015.6017692,NSE_FO|NIFTY23OCT19500CE,19500.54,1
1766757016.1057732,NSE_FO|NIFTY23OCT19500CE,19502.6,2
1766757016.6191869,NSE_FO|NIFTY23OCT19500CE,19502.36,2
1766757017.120442,NSE_FO|NIFTY23OCT19500CE,19501.54,6
1766757017.6360862,NSE_FO|NIFTY23OCT19500CE,19503.35,2
1766757018.1380394,NSE_FO|NIFTY23OCT19500CE,19501.49,3
1766757018.6544154,NSE_FO|NIFTY23OCT19500CE,19504.24,7
1766757019.1556165,NSE_FO|NIFTY23OCT19500CE,19504.98,5
1766757019.6575453,NSE_FO|NIFTY23OCT19500CE,19503.62,8
1766757020.1600196,NSE_FO|NIFTY23OCT19500CE,19502.41,10
1766757020.6735225,NSE_FO|NIFTY23OCT19500CE,19503.64,6
1766757021.1776667,NSE_FO|NIFTY23OCT19500CE,19502.73,5
1766757021.6896236,NSE_FO|NIFTY23OCT19500CE,19502.17,9
1766757022.1913888,NSE_FO|NIFTY23OCT19500CE,19502.12,10
1766757022.7059293,NSE_FO|NIFTY23OCT19500CE,19504.88,2
1766757023.2072878,NSE_FO|NIFTY23OCT19500CE,19504.09,7
1766757023.7084742,NSE_FO|NIFTY23OCT19500CE,19502.14,5
1766757024.209725,NSE_FO|NIFTY23OCT19500CE,19501.67,7
1766757024.7128174,NSE_FO|NIFTY23OCT19500CE,19500.67,7
1767080814.0567799,NSE_FO|NIFTY23OCT19500CE,19498.36,5
1767080814.567583,NSE_FO|NIFTY23OCT19500CE,19500.05,5
1767080815.0715287,NSE_FO|NIFTY23OCT19500CE,19498.05,7
1767080815.5863907,NSE_FO|NIFTY23OCT19500CE,19500.59,10
1767080816.0900285,NSE_FO|NIFTY23OCT19500CE,19498.85,5
1767080816.6038058,NSE_FO|NIFTY23OCT19500CE,19498.46,6
1767080817.1186085,NSE_FO|NIFTY23OCT19500CE,19500.01,4
1767080817.6344123,NSE_FO|NIFTY23OCT19500CE,19501.0,6
1767080818.143309,NSE_FO|NIFTY23OCT19500CE,19500.24,9
1767080818.6536236,NSE_FO|NIFTY23OCT19500CE,19502.83,5
1767080819.169888,NSE_FO|NIFTY23OCT19500CE,19505.74,3
1767080819.67112,NSE_FO|NIFTY23OCT19500CE,19508.7,5
1767080820.184714,NSE_FO|NIFTY23OCT19500CE,19510.25,4
1767080820.69033,NSE_FO|NIFTY23OCT19500CE,19511.76,3
1767080821.2058008,NSE_FO|NIFTY23OCT19500CE,19512.48,4
1767080821.7223957,NSE_FO|NIFTY23OCT19500CE,19510.94,5
1767080822.2259517,NSE_FO|NIFTY23OCT19500CE,19511.7,1
1767080822.7331347,NSE_FO|NIFTY23OCT19500CE,19512.49,9
1767080823.2381713,NSE_FO|NIFTY23OCT19500CE,19514.46,8
1767080823.7505784,NSE_FO|NIFTY23OCT19500CE,19512.73,10
1767084618.865786,NSE_FO|NIFTY23OCT19500CE,19502.78,6
1767084619.3743768,NSE_FO|NIFTY23OCT19500CE,19504.85,6
