Timestamp,Symbol,LTP,Volume
1767086253.9910634,NSE_FO|NIFTY,19497.61,5
1767086254.4941597,NSE_FO|NIFTY,19499.61,9
1767086255.0071542,NSE_FO|NIFTY,19500.03,9
1767086255.509476,NSE_FO|NIFTY,19498.61,7
1767086256.0254123,NSE_FO|NIFTY,19497.74,2
1767086256.5410285,NSE_FO|NIFTY,19498.91,4
1767086257.0431347,NSE_FO|NIFTY,19500.54,2
1767086257.5467243,NSE_FO|NIFTY,19501.22,5
1767086258.0613341,NSE_FO|NIFTY,19504.1,3
1767086258.5647552,NSE_FO|NIFTY,19503.63,7
1767086259.0790951,NSE_FO|NIFTY,19506.23,10
1767086259.5922418,NSE_FO|NIFTY,19508.92,4
1767086260.0954778,NSE_FO|NIFTY,19511.35,8
1767086260.597646,NSE_FO|NIFTY,19511.99,1
1767086261.1141717,NSE_FO|NIFTY,19514.39,9
1767086261.6295934,NSE_FO|NIFTY,19513.21,7
1767086262.1456223,NSE_FO|NIFTY,19513.58,1
1767086262.661714,NSE_FO|NIFTY,19513.07,7
1767086263.164603,NSE_FO|NIFTY,19512.07,10
1767086263.6788898,NSE_FO|NIFTY,19511.9,2
1767086264.1825411,NSE_FO|NIFTY,19510.07,1
1767086264.6926825,NSE_FO|NIFTY,19512.09,9
1767086265.1986015,NSE_FO|NIFTY,19510.11,4
1767086265.7119703,NSE_FO|NIFTY,19508.38,1
1767086266.2171166,NSE_FO|NIFTY,19506.94,8
1767086266.733078,NSE_FO|NIFTY,19506.72,6
1767086267.2496107,NSE_FO|NIFTY,19506.26,3
1767086267.7516575,NSE_FO|NIFTY,19506.09,7
1767086268.2531364,NSE_FO|NIFTY,19507.56,1
1767086268.7556393,NSE_FO|NIFTY,19509.36,10
1767086269.258041,NSE_FO|NIFTY,19512.22,8
1767086269.7714524,NSE_FO|NIFTY,19511.36,10
1767086270.287136,NSE_FO|NIFTY,19511.53,3
1767086270.8030784,NSE_FO|NIFTY,19514.16,2
1767086271.306154,NSE_FO|NIFTY,19514.24,5
1767086271.8200839,NSE_FO|NIFTY,19516.05,3
1767086272.322023,NSE_FO|NIFTY,19518.02,2
1767086272.8372357,NSE_FO|NIFTY,19519.08,7
1767086273.3394206,NSE_FO|NIFTY,19519.16,1
1767087704.029655,NSE_FO|NIFTY,19500.79,3
1767087704.5335374,NSE_FO|NIFTY,19499.15,10
1767087705.0482001,NSE_FO|NIFTY,19501.63,6
1767087705.5641775,NSE_FO|NIFTY,19500.55,10
1767087706.06753,NSE_FO|NIFTY,19501.88,1
1767087706.5736918,NSE_FO|NIFTY,19502.52,5
1767087707.0848231,NSE_FO|NIFTY,19502.57,8
1767087707.5964077,NSE_FO|NIFTY,19505.06,8
1767087708.1063972,NSE_FO|NIFTY,19506.94,8
1767087708.6097984,NSE_FO|NIFTY,19505.75,9
1767087709.1215,NSE_FO|NIFTY,19504.27,2
1767087709.6331027,NSE_FO|NIFTY,19506.94,7
1767087710.1370268,NSE_FO|NIFTY,19509.9,1
1767087710.653851,NSE_FO|NIFTY,19509.82,3
1767087711.161442,NSE_FO|NIFTY,19508.69,8
1767087711.670524,NSE_FO|NIFTY,19507.12,4
1767087712.1807053,NSE_FO|NIFTY,19505.94,7
1767087712.688234,NSE_FO|NIFTY,19504.94,6
1767087713.2052665,NSE_FO|NIFTY,19507.12,7
1767087713.7171934,NSE_FO|NIFTY,19507.44,5
1767087714.2245376,NSE_FO|NIFTY,19510.0,4
1767087714.732082,NSE_FO|NIFTY,19509.14,9
1767087715.239478,NSE_FO|NIFTY,19509.21,7
1767087715.7525475,NSE_FO|NIFTY,19508.07,10
1767087716.2681272,NSE_FO|NIFTY,19507.74,6
1767087716.771933,NSE_FO|NIFTY,19509.72,1
1767087717.284569,NSE_FO|NIFTY,19511.73,1
1767087717.7918904,NSE_FO|NIFTY,19512.51,1
1767087718.3067856,NSE_FO|NIFTY,19511.68,2
1767087718.811231,NSE_FO|NIFTY,19510.45,6
1767087719.3269901,NSE_FO|NIFTY,19509.8,4
1767087719.8310983,NSE_FO|NIFTY,19511.12,10
1767087720.3471246,NSE_FO|NIFTY,19510.11,9
1767087720.855805,NSE_FO|NIFTY,19509.27,8
1767087721.361984,NSE_FO|NIFTY,19509.27,7
1767087721.8653803,NSE_FO|NIFTY,19508.8,8
1767087722.3789344,NSE_FO|NIFTY,19508.16,10
1767087722.880886,NSE_FO|NIFTY,19508.25,9
1767087723.3965268,NSE_FO|NIFTY,19510.71,5
1767087723.913344,NSE_FO|NIFTY,19509.27,6
