Timestamp,Event_Type,Data_Hash,Raw_Data
2025-12-26T15:53:18.968764,SIGNAL,-1250306965976122443,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19549.61, 'quantity': 50, 'reason': 'MOMENTUM'}"
2025-12-26T15:53:18.968943,ORDER_VAL,-4719802943178864392,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'BUY', 'quantity': 50, 'price': 19549.61, 'type': 'MARKET'}"
2025-12-26T15:53:19.069914,ORDER_EXEC,-3881819609909756211,"{'status': 'FILLED', 'order_id': 'PAPER_507865.7445597', 'price': 19549.61, 'avg_price': 19549.61, 'quantity': 50}"
2025-12-26T15:54:53.115837,SIGNAL,-8697659515801777480,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19945.48, 'quantity': 50, 'reason': 'TAKE_PROFIT'}"
2025-12-26T15:54:53.120590,ORDER_VAL,-6694975144936481246,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'SELL', 'quantity': 50, 'price': 19945.48, 'type': 'MARKET'}"
2025-12-26T15:54:53.236789,ORDER_EXEC,-150655627843900220,"{'status': 'FILLED', 'order_id': 'PAPER_507959.9114066', 'price': 19945.48, 'avg_price': 19945.48, 'quantity': 50}"
2025-12-26T15:54:53.626197,SIGNAL,-4052058557929305065,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19958.97, 'quantity': 50, 'reason': 'MOMENTUM'}"
2025-12-26T15:54:53.626788,ORDER_VAL,1920852476811942996,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'BUY', 'quantity': 50, 'price': 19958.97, 'type': 'MARKET'}"
2025-12-26T15:54:53.736113,ORDER_EXEC,-8548059705648235808,"{'status': 'FILLED', 'order_id': 'PAPER_507960.408931', 'price': 19958.97, 'avg_price': 19958.97, 'quantity': 50}"
2025-12-26T15:55:53.460963,SIGNAL,8644038109599385968,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20368.17, 'quantity': 50, 'reason': 'TAKE_PROFIT'}"
2025-12-26T15:55:53.461598,ORDER_VAL,-2683955739994684190,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'SELL', 'quantity': 50, 'price': 20368.17, 'type': 'MARKET'}"
2025-12-26T15:55:53.570725,ORDER_EXEC,-8259252276350624695,"{'status': 'FILLED', 'order_id': 'PAPER_508020.2395356', 'price': 20368.17, 'avg_price': 20368.17, 'quantity': 50}"
2025-12-26T15:59:58.353276,SIGNAL,242361635614026098,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19576.94, 'quantity': 55, 'reason': 'MOMENTUM'}"
2025-12-26T15:59:58.353819,ORDER_VAL,-5283874406149272171,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'BUY', 'quantity': 55, 'price': 19576.94, 'type': 'MARKET'}"
2025-12-26T15:59:58.468179,ORDER_EXEC,5623135254830220601,"{'status': 'FILLED', 'order_id': 'PAPER_508265.142624', 'price': 19576.94, 'avg_price': 19576.94, 'quantity': 55}"
2025-12-26T16:01:14.730949,SIGNAL,5386297617311540641,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19969.97, 'quantity': 55, 'reason': 'TAKE_PROFIT'}"
2025-12-26T16:01:14.731242,ORDER_VAL,-6504152987172758342,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'SELL', 'quantity': 55, 'price': 19969.97, 'type': 'MARKET'}"
2025-12-26T16:01:14.848809,ORDER_EXEC,-5723476787790863017,"{'status': 'FILLED', 'order_id': 'PAPER_508341.522827', 'price': 19969.97, 'avg_price': 19969.97, 'quantity': 55}"
2025-12-26T16:01:15.231102,SIGNAL,-3356657864934667183,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19962.56, 'quantity': 55, 'reason': 'MOMENTUM'}"
2025-12-26T16:01:15.231262,ORDER_VAL,8918305683689727893,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'BUY', 'quantity': 55, 'price': 19962.56, 'type': 'MARKET'}"
2025-12-26T16:01:15.349063,ORDER_EXEC,4169497012442209875,"{'status': 'FILLED', 'order_id': 'PAPER_508342.0229625', 'price': 19962.56, 'avg_price': 19962.56, 'quantity': 55}"
2025-12-26T16:02:18.984567,SIGNAL,-1126589109988678504,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20366.72, 'quantity': 55, 'reason': 'TAKE_PROFIT'}"
2025-12-26T16:02:18.985012,ORDER_VAL,6477151352286335024,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'SELL', 'quantity': 55, 'price': 20366.72, 'type': 'MARKET'}"
2025-12-26T16:02:19.088078,ORDER_EXEC,-7478827578356250316,"{'status': 'FILLED', 'order_id': 'PAPER_508405.7625602', 'price': 20366.72, 'avg_price': 20366.72, 'quantity': 55}"
2025-12-26T16:02:19.484615,SIGNAL,6733269668977163217,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20377.39, 'quantity': 55, 'reason': 'MOMENTUM'}"
2025-12-26T16:02:19.484816,ORDER_VAL,-6369197362802776584,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'BUY', 'quantity': 55, 'price': 20377.39, 'type': 'MARKET'}"
2025-12-26T16:02:19.601901,ORDER_EXEC,4870674659570010976,"{'status': 'FILLED', 'order_id': 'PAPER_508406.2758765', 'price': 20377.39, 'avg_price': 20377.39, 'quantity': 55}"
2025-12-26T16:04:16.802760,SIGNAL,8649487690179736947,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20786.71, 'quantity': 55, 'reason': 'TAKE_PROFIT'}"
2025-12-26T16:04:16.803238,ORDER_VAL,-4972098568064804112,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'SELL', 'quantity': 55, 'price': 20786.71, 'type': 'MARKET'}"
2025-12-26T16:04:16.916531,ORDER_EXEC,192644809390485131,"{'status': 'FILLED', 'order_id': 'PAPER_508523.5909988', 'price': 20786.71, 'avg_price': 20786.71, 'quantity': 55}"
2025-12-26T16:04:17.315527,SIGNAL,6649023496279664469,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20783.94, 'quantity': 55, 'reason': 'MOMENTUM'}"
2025-12-26T16:04:17.316077,ORDER_VAL,-9171923264723518727,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'BUY', 'quantity': 55, 'price': 20783.94, 'type': 'MARKET'}"
2025-12-26T16:04:17.417326,ORDER_EXEC,-4586950925640819159,"{'status': 'FILLED', 'order_id': 'PAPER_508524.0919579', 'price': 20783.94, 'avg_price': 20783.94, 'quantity': 55}"
2025-12-26T16:05:22.034203,SIGNAL,-6877188768848767699,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 21203.93, 'quantity': 55, 'reason': 'TAKE_PROFIT'}"
2025-12-26T16:05:22.034462,ORDER_VAL,-1999106224886843397,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'SELL', 'quantity': 55, 'price': 21203.93, 'type': 'MARKET'}"
2025-12-26T16:05:22.135932,ORDER_EXEC,-7121827050987639683,"{'status': 'FILLED', 'order_id': 'PAPER_508588.8103529', 'price': 21203.93, 'avg_price': 21203.93, 'quantity': 55}"
2025-12-26T16:05:22.535873,SIGNAL,6699719303365222736,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 21215.56, 'quantity': 55, 'reason': 'MOMENTUM'}"
2025-12-26T16:05:22.536300,ORDER_VAL,5850388445131273087,"{'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'action': 'BUY', 'quantity': 55, 'price': 21215.56, 'type': 'MARKET'}"
2025-12-26T16:05:22.651023,ORDER_EXEC,-4369812429666598065,"{'status': 'FILLED', 'order_id': 'PAPER_508589.3254212', 'price': 21215.56, 'avg_price': 21215.56, 'quantity': 55}"
2025-12-26T16:19:22.030721,SIGNAL,-1135727263045078976,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19530.67, 'quantity': 300, 'reason': 'MOMENTUM'}"
2025-12-26T16:22:29.730706,SIGNAL,-7858960343752056769,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19578.52, 'quantity': 250, 'reason': 'MOMENTUM'}"
2025-12-26T16:23:38.140780,SIGNAL,3770374749970509213,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19970.28, 'quantity': 250, 'reason': 'TAKE_PROFIT'}"
2025-12-26T16:23:38.641225,SIGNAL,-2979421882617104461,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 19974.5, 'quantity': 250, 'reason': 'MOMENTUM'}"
2025-12-26T16:25:04.743707,SIGNAL,5955798263520763064,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20374.75, 'quantity': 250, 'reason': 'TAKE_PROFIT'}"
2025-12-26T16:25:05.244684,SIGNAL,-5109806480150206043,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20366.8, 'quantity': 250, 'reason': 'MOMENTUM'}"
2025-12-26T16:27:01.712427,SIGNAL,7521045693744271429,"{'action': 'SELL', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20780.0, 'quantity': 250, 'reason': 'TAKE_PROFIT'}"
2025-12-26T16:27:02.218107,SIGNAL,2401526735047814819,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY26OCT19500CE', 'price': 20775.67, 'quantity': 250, 'reason': 'MOMENTUM'}"
2025-12-26T16:55:13.289090,SIGNAL,-3181555590186599411,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY23OCT19500CE', 'price': 19565.34, 'quantity': 50, 'reason': 'MOMENTUM'}"
2025-12-26T16:55:13.291283,ORDER_VAL,-6764444149437208483,"{'symbol': 'NSE_FO|NIFTY23OCT19500CE', 'action': 'BUY', 'quantity': 50, 'price': 19565.34, 'type': 'MARKET'}"
2025-12-26T16:55:13.408227,ORDER_EXEC,-6510813142081136727,"{'status': 'FILLED', 'order_id': 'PAPER_511580.081208', 'price': 19565.34, 'avg_price': 19565.34, 'quantity': 50}"
2025-12-26T16:55:15.291116,SIGNAL,-4013390556308883414,"{'action': 'BUY', 'symbol': 'NSE_FO|NIFTY23OCT19500CE', 'price': 19578.85, 'quantity': 50, 'reason': 'MOMENTUM'}"
2025-12-26T16:55:15.291697,ORDER_VAL,-2237085369507908574,"{'symbol': 'NSE_FO|NIFTY23OCT19500CE', 'action': 'BUY', 'quantity': 50, 'price': 19578.85, 'type': 'MARKET'}"
